"","trial_num","prob_same","time_taken","response","correct","switch","target","previous_actual_response_was_switch","previous_actual_response_was_not_switch","previous_target_response_was_switch","previous_target_response_was_not_switch","previous_response_was_error","previous_response_was_not_error","number_of_same_preceeding","number_of_different_preceeding"
"41",1,0.9,617,1,1,0,1,0,0,0,0,0,0,0,0
"42",1,0.9,579,1,1,0,1,0,0,0,0,0,0,0,0
"43",1,0.9,560,1,1,0,1,0,0,0,0,0,0,0,0
"44",1,0.9,505,1,1,0,1,0,0,0,0,0,0,0,0
"45",1,0.9,500,1,1,0,1,0,0,0,0,0,0,0,0
"46",1,0.9,522,1,1,0,1,0,0,0,0,0,0,0,0
"47",1,0.9,487,1,1,0,1,0,0,0,0,0,0,0,0
"48",1,0.9,511,1,0,1,0,0,0,0,0,0,0,0,0
"49",1,0.9,2235,0,1,0,0,0,0,0,0,0,0,0,0
"50",1,0.9,1007,0,1,0,0,0,0,0,0,0,0,0,0
"51",1,0.9,1010,0,1,0,0,0,0,0,0,0,0,0,0
"52",1,0.9,1049,1,1,1,1,0,0,0,0,0,0,0,0
"53",1,0.9,725,1,1,0,1,0,0,0,0,0,0,0,0
"54",1,0.9,608,1,1,0,1,0,0,0,0,0,0,0,0
"55",1,0.9,886,0,1,1,0,0,0,0,0,0,0,0,0
"56",1,0.9,972,0,1,0,0,0,0,0,0,0,0,0,0
"57",1,0.9,793,0,1,0,0,0,0,0,0,0,0,0,0
"58",1,0.9,675,0,1,0,0,0,0,0,0,0,0,0,0
"59",1,0.9,748,0,1,0,0,0,0,0,0,0,0,0,0
"60",1,0.9,772,1,1,1,1,0,0,0,0,0,0,0,0
"61",1,0.9,841,0,1,1,0,0,0,0,0,0,0,0,0
"62",1,0.9,1882,0,1,0,0,0,0,0,0,0,0,0,0
"63",1,0.9,820,0,1,0,0,0,0,0,0,0,0,0,0
"64",1,0.9,763,0,1,0,0,0,0,0,0,0,0,0,0
"65",1,0.9,863,1,1,1,1,0,0,0,0,0,0,0,0
"66",1,0.9,736,1,1,0,1,0,0,0,0,0,0,0,0
"67",1,0.9,692,1,1,0,1,0,0,0,0,0,0,0,0
"68",1,0.9,626,1,1,0,1,0,0,0,0,0,0,0,0
"69",1,0.9,820,0,1,1,0,0,0,0,0,0,0,0,0
"70",1,0.9,817,0,1,0,0,0,0,0,0,0,0,0,0
"71",2,0.8,828,1,1,1,1,0,0,0,0,0,0,0,0
"72",2,0.8,740,1,1,0,1,0,0,0,0,0,0,0,0
"73",2,0.8,780,0,1,1,0,0,0,0,0,0,0,0,0
"74",2,0.8,726,1,0,0,0,0,0,0,0,0,0,0,0
"75",2,0.8,1108,0,1,0,0,0,0,0,0,0,0,0,0
"76",2,0.8,912,0,1,0,0,0,0,0,0,0,0,0,0
"77",2,0.8,823,0,1,0,0,0,0,0,0,0,0,0,0
"78",2,0.8,853,0,1,0,0,0,0,0,0,0,0,0,0
"79",2,0.8,732,0,1,0,0,0,0,0,0,0,0,0,0
"80",2,0.8,718,0,1,0,0,0,0,0,0,0,0,0,0
"81",2,0.8,661,0,1,0,0,0,0,0,0,0,0,0,0
"82",2,0.8,840,0,1,0,0,0,0,0,0,0,0,0,0
"83",2,0.8,850,0,1,0,0,0,0,0,0,0,0,0,0
