trial_num, prob_same,response_num, response_time,target_response, response_switch_target, actual_response, response_correct,response_switch_actual,blood sugar
3,0.75,76,688,S,same_key,S,correct,same_key,normal
3,0.75,77,610,S,same_key,S,correct,same_key,normal
3,0.75,78,786,D,different_key,D,correct,different_key,normal
3,0.75,79,706,D,same_key,D,correct,same_key,normal
3,0.75,80,728,S,different_key,S,correct,different_key,normal
3,0.75,81,628,S,same_key,S,correct,same_key,normal
3,0.75,82,572,S,same_key,S,correct,same_key,normal
3,0.75,83,628,S,same_key,S,correct,same_key,normal
3,0.75,84,590,S,same_key,S,correct,same_key,normal
3,0.75,85,766,D,different_key,D,correct,different_key,normal
3,0.75,86,746,S,different_key,S,correct,different_key,normal
4,0.75,2,628,S,,S,correct,,normal
4,0.75,3,532,S,same_key,S,correct,same_key,normal
4,0.75,4,512,S,same_key,S,correct,same_key,normal
4,0.75,5,514,S,same_key,S,correct,same_key,normal
4,0.75,6,511,S,same_key,S,correct,same_key,normal
4,0.75,7,552,S,same_key,S,correct,same_key,normal
4,0.75,8,452,S,same_key,S,correct,same_key,normal
4,0.75,9,493,S,same_key,S,correct,same_key,normal
4,0.75,10,472,S,same_key,S,correct,same_key,normal
4,0.75,11,552,S,same_key,S,correct,same_key,normal
4,0.75,12,472,S,same_key,S,correct,same_key,normal
4,0.75,13,726,D,different_key,D,correct,different_key,normal
4,0.75,14,532,S,different_key,S,correct,different_key,normal
4,0.75,15,477,S,same_key,S,correct,same_key,normal
4,0.75,16,685,D,different_key,D,correct,different_key,normal
4,0.75,17,649,D,same_key,D,correct,same_key,normal
4,0.75,18,629,D,same_key,S,incorrect,different_key,normal
4,0.75,19,1020,S,different_key,S,correct,same_key,normal
4,0.75,20,688,D,different_key,D,correct,different_key,normal
4,0.75,21,668,S,different_key,D,incorrect,same_key,normal
4,0.75,22,668,S,same_key,S,correct,different_key,normal
4,0.75,23,552,S,same_key,S,correct,same_key,normal
4,0.75,24,706,D,different_key,D,correct,different_key,normal
4,0.75,25,766,S,different_key,S,correct,different_key,normal
4,0.75,26,746,D,different_key,D,correct,different_key,normal
4,0.75,27,844,S,different_key,S,correct,different_key,normal
4,0.75,28,532,S,same_key,S,correct,same_key,normal
4,0.75,29,728,D,different_key,D,correct,different_key,normal
4,0.75,30,942,S,different_key,S,correct,different_key,normal
4,0.75,31,570,S,same_key,S,correct,same_key,normal
4,0.75,32,766,D,different_key,D,correct,different_key,normal
4,0.75,33,845,S,different_key,S,correct,different_key,normal
4,0.75,34,532,S,same_key,S,correct,same_key,normal
4,0.75,35,628,S,same_key,S,correct,same_key,normal
4,0.75,36,651,D,different_key,D,correct,different_key,normal
4,0.75,37,704,S,different_key,S,correct,different_key,normal
4,0.75,38,610,S,same_key,S,correct,same_key,normal
4,0.75,39,668,S,same_key,S,correct,same_key,normal
4,0.75,40,630,S,same_key,S,correct,same_key,normal
4,0.75,41,600,S,same_key,S,correct,same_key,normal
4,0.75,42,600,S,same_key,S,correct,same_key,normal
4,0.75,43,746,D,different_key,D,correct,different_key,normal
4,0.75,44,824,S,different_key,S,correct,different_key,normal
4,0.75,45,786,D,different_key,D,correct,different_key,normal
4,0.75,46,806,S,different_key,S,correct,different_key,normal
4,0.75,47,767,D,different_key,D,correct,different_key,normal
4,0.75,48,767,D,same_key,D,correct,same_key,normal
4,0.75,49,764,D,same_key,D,correct,same_key,normal
4,0.75,50,746,S,different_key,S,correct,different_key,normal
4,0.75,51,512,S,same_key,S,correct,same_key,normal
4,0.75,52,708,D,different_key,D,correct,different_key,normal
4,0.75,53,980,S,different_key,S,correct,different_key,normal
4,0.75,54,766,D,different_key,D,correct,different_key,normal
4,0.75,55,844,S,different_key,S,correct,different_key,normal
4,0.75,56,610,S,same_key,S,correct,same_key,normal
4,0.75,57,710,D,different_key,D,correct,different_key,normal
4,0.75,58,687,D,same_key,D,correct,same_key,normal
4,0.75,59,748,S,different_key,S,correct,different_key,normal
4,0.75,60,608,S,same_key,S,correct,same_key,normal
4,0.75,61,589,S,same_key,S,correct,same_key,normal
4,0.75,62,610,S,same_key,S,correct,same_key,normal
4,0.75,63,591,S,same_key,S,correct,same_key,normal
4,0.75,64,571,S,same_key,S,correct,same_key,normal
4,0.75,65,570,S,same_key,S,correct,same_key,normal
4,0.75,66,570,S,same_key,S,correct,same_key,normal
4,0.75,67,708,D,different_key,D,correct,different_key,normal
4,0.75,68,746,S,different_key,S,correct,different_key,normal
4,0.75,69,610,S,same_key,S,correct,same_key,normal
4,0.75,70,628,S,same_key,S,correct,same_key,normal
4,0.75,71,650,S,same_key,S,correct,same_key,normal
4,0.75,72,630,S,same_key,S,correct,same_key,normal
4,0.75,73,570,S,same_key,S,correct,same_key,normal
4,0.75,74,610,S,same_key,S,correct,same_key,normal
4,0.75,75,766,D,different_key,D,correct,different_key,normal
4,0.75,76,786,S,different_key,S,correct,different_key,normal
4,0.75,77,784,D,different_key,D,correct,different_key,normal
4,0.75,78,750,D,same_key,D,correct,same_key,normal
4,0.75,79,742,S,different_key,S,correct,different_key,normal
4,0.75,80,532,S,same_key,S,correct,same_key,normal
4,0.75,81,610,S,same_key,S,correct,same_key,normal
4,0.75,82,706,D,different_key,D,correct,different_key,normal
4,0.75,83,824,S,different_key,S,correct,different_key,normal
4,0.75,84,729,D,different_key,D,correct,different_key,normal
4,0.75,85,785,S,different_key,S,correct,different_key,normal
4,0.75,86,571,S,same_key,S,correct,same_key,normal
4,0.75,87,589,S,same_key,S,correct,same_key,normal
4,0.75,88,844,S,same_key,S,correct,same_key,normal
4,0.75,89,570,S,same_key,S,correct,same_key,normal
