"","trial_number","prob_same","response_number","time_taken","response_was_S","response_was_correct","target_response_switched","target_response_was_S","actual_response_switched","previous_actual_response_was_switch","previous_target_response_was_switch","previous_response_was_error","number_of_same_preceeding","number_of_different_preceeding"
"240",4,0.8,38,614,1,1,0,1,0,0,0,0,13,0
"241",4,0.8,39,597,1,1,0,1,0,0,0,0,14,0
"242",4,0.8,40,599,1,1,0,1,0,0,0,0,15,0
"243",4,0.8,41,566,1,1,0,1,0,0,0,0,16,0
"244",4,0.8,42,570,1,1,0,1,0,0,0,0,17,0
"245",4,0.8,43,552,1,1,0,1,0,0,0,0,18,0
"246",4,0.8,44,543,1,1,0,1,0,0,0,0,19,0
"247",4,0.8,45,522,1,1,0,1,0,0,0,0,20,0
"248",4,0.8,46,523,1,1,0,1,0,0,0,0,21,0
"249",4,0.8,47,571,1,1,0,1,0,0,0,0,22,0
"250",4,0.8,48,529,1,1,0,1,0,0,0,0,23,0
"251",4,0.8,49,488,1,1,0,1,0,0,0,0,24,0
"252",4,0.8,50,515,1,1,0,1,0,0,0,0,25,0
"253",4,0.8,51,470,1,1,0,1,0,0,0,0,26,0
"254",4,0.8,52,536,1,1,0,1,0,0,0,0,27,0
"255",4,0.8,53,470,1,1,0,1,0,0,0,0,28,0
"256",4,0.8,54,514,1,1,0,1,0,0,0,0,29,0
"257",4,0.8,55,528,1,1,0,1,0,0,0,0,30,0
"258",4,0.8,56,487,1,1,0,1,0,0,0,0,31,0
"259",4,0.8,57,513,1,1,0,1,0,0,0,0,32,0
"260",4,0.8,58,485,1,1,0,1,0,0,0,0,33,0
"261",4,0.8,59,485,1,1,0,1,0,0,0,0,34,0
"262",4,0.8,60,553,1,1,0,1,0,0,0,0,35,0
"263",4,0.8,61,458,1,0,1,0,0,0,0,0,0,0
"264",4,0.8,62,570,0,0,1,1,1,0,1,1,0,0
"265",4,0.8,63,870,1,1,0,1,1,1,1,1,1,0
"266",4,0.8,64,1233,0,1,1,0,1,1,0,0,0,0
"267",4,0.8,65,1527,0,1,0,0,0,1,1,0,0,1
"268",4,0.8,66,833,0,1,0,0,0,0,0,0,0,2
"269",4,0.8,67,895,1,1,1,1,1,0,0,0,0,0
"270",4,0.8,68,614,1,1,0,1,0,1,1,0,1,0
"271",4,0.8,69,529,1,1,0,1,0,0,0,0,2,0
"272",4,0.8,70,509,1,1,0,1,0,0,0,0,3,0
"273",4,0.8,71,530,1,1,0,1,0,0,0,0,4,0
"274",4,0.8,72,494,1,1,0,1,0,0,0,0,5,0
"275",4,0.8,73,460,1,1,0,1,0,0,0,0,6,0
"276",4,0.8,74,742,0,1,1,0,1,0,0,0,0,0
"277",4,0.8,75,793,0,0,1,1,0,1,1,0,0,0
"278",4,0.8,76,1023,0,1,1,0,0,0,1,1,0,0
"279",4,0.8,77,871,0,1,0,0,0,0,1,0,0,1
"280",4,0.8,78,931,0,1,0,0,0,0,0,0,0,2
"281",4,0.8,79,917,0,1,0,0,0,0,0,0,0,3
"282",5,0.9,2,726,1,1,0,1,1,0,0,0,0,0
"283",5,0.9,3,764,0,1,1,0,1,1,0,0,0,0
"284",5,0.9,4,943,0,1,0,0,0,1,1,0,0,1
"285",5,0.9,5,682,0,1,0,0,0,0,0,0,0,2
"286",5,0.9,6,718,0,1,0,0,0,0,0,0,0,3
"287",5,0.9,7,667,0,1,0,0,0,0,0,0,0,4
"288",5,0.9,8,694,0,1,0,0,0,0,0,0,0,5
"289",5,0.9,9,664,0,1,0,0,0,0,0,0,0,6
"290",5,0.9,10,652,0,1,0,0,0,0,0,0,0,7
"291",5,0.9,11,846,1,1,1,1,1,0,0,0,0,0
"292",5,0.9,12,616,1,1,0,1,0,1,1,0,1,0
"293",5,0.9,13,568,1,1,0,1,0,0,0,0,2,0
"294",5,0.9,14,518,1,1,0,1,0,0,0,0,3,0
"295",5,0.9,15,496,1,1,0,1,0,0,0,0,4,0
"296",5,0.9,16,499,1,1,0,1,0,0,0,0,5,0
"297",5,0.9,17,479,1,1,0,1,0,0,0,0,6,0
"298",5,0.9,18,470,1,1,0,1,0,0,0,0,7,0
"299",5,0.9,19,441,1,0,1,0,0,0,0,0,0,0
"300",5,0.9,20,1521,0,1,0,0,1,0,1,1,0,1
"301",5,0.9,21,822,0,1,0,0,0,1,0,0,0,2
"302",5,0.9,22,759,0,1,0,0,0,0,0,0,0,3
"303",5,0.9,23,689,0,1,0,0,0,0,0,0,0,4
"304",5,0.9,24,718,0,1,0,0,0,0,0,0,0,5
"305",5,0.9,25,688,0,1,0,0,0,0,0,0,0,6
"306",5,0.9,26,749,0,1,0,0,0,0,0,0,0,7
"307",5,0.9,27,661,0,0,1,1,0,0,0,0,0,0
"308",5,0.9,28,664,1,1,0,1,1,0,1,1,1,0
"309",5,0.9,29,604,1,1,0,1,0,1,0,0,2,0
"310",5,0.9,30,488,1,1,0,1,0,0,0,0,3,0
"311",5,0.9,31,511,1,1,0,1,0,0,0,0,4,0
"312",5,0.9,32,480,1,1,0,1,0,0,0,0,5,0
"313",5,0.9,33,471,1,1,0,1,0,0,0,0,6,0
"314",5,0.9,34,514,1,1,0,1,0,0,0,0,7,0
"315",5,0.9,35,490,1,1,0,1,0,0,0,0,8,0
"316",5,0.9,36,464,1,1,0,1,0,0,0,0,9,0
"317",5,0.9,37,490,1,1,0,1,0,0,0,0,10,0
"318",5,0.9,38,449,1,1,0,1,0,0,0,0,11,0
"319",5,0.9,39,478,1,1,0,1,0,0,0,0,12,0
"320",5,0.9,40,571,1,1,0,1,0,0,0,0,13,0
"321",5,0.9,41,518,1,1,0,1,0,0,0,0,14,0
"322",5,0.9,42,462,1,1,0,1,0,0,0,0,15,0
"323",5,0.9,43,456,1,1,0,1,0,0,0,0,16,0
"324",5,0.9,44,482,1,1,0,1,0,0,0,0,17,0
"325",5,0.9,45,496,1,1,0,1,0,0,0,0,18,0
"326",5,0.9,46,495,1,1,0,1,0,0,0,0,19,0
"327",5,0.9,47,483,1,1,0,1,0,0,0,0,20,0
"328",5,0.9,48,502,1,1,0,1,0,0,0,0,21,0
"329",5,0.9,49,495,1,1,0,1,0,0,0,0,22,0
"330",5,0.9,50,523,1,1,0,1,0,0,0,0,23,0
"331",5,0.9,51,480,1,1,0,1,0,0,0,0,24,0
"332",5,0.9,52,487,1,1,0,1,0,0,0,0,25,0
"333",5,0.9,53,480,1,1,0,1,0,0,0,0,26,0
"334",5,0.9,54,466,1,1,0,1,0,0,0,0,27,0
"335",5,0.9,55,535,1,1,0,1,0,0,0,0,28,0
"336",5,0.9,56,518,1,1,0,1,0,0,0,0,29,0
"337",5,0.9,57,482,1,1,0,1,0,0,0,0,30,0
"338",5,0.9,58,454,1,1,0,1,0,0,0,0,31,0
"339",5,0.9,59,494,1,1,0,1,0,0,0,0,32,0
"340",5,0.9,60,468,1,1,0,1,0,0,0,0,33,0
"341",5,0.9,61,432,1,1,0,1,0,0,0,0,34,0
"342",5,0.9,62,473,1,1,0,1,0,0,0,0,35,0
"343",5,0.9,63,450,1,1,0,1,0,0,0,0,36,0
"344",5,0.9,64,428,1,1,0,1,0,0,0,0,37,0
"345",5,0.9,65,437,1,0,1,0,0,0,0,0,0,0
"346",5,0.9,66,1609,0,1,0,0,1,0,1,1,0,1
"347",5,0.9,67,736,0,1,0,0,0,1,0,0,0,2
"348",5,0.9,68,625,0,1,0,0,0,0,0,0,0,3
"349",5,0.9,69,560,0,1,0,0,0,0,0,0,0,4
"350",5,0.9,70,581,0,1,0,0,0,0,0,0,0,5
"351",5,0.9,71,602,0,1,0,0,0,0,0,0,0,6
"352",5,0.9,72,571,0,1,0,0,0,0,0,0,0,7
"353",5,0.9,73,546,0,0,1,1,0,0,0,0,0,0
"354",5,0.9,74,586,1,1,0,1,1,0,1,1,1,0
"355",5,0.9,75,586,1,1,0,1,0,1,0,0,2,0
"356",5,0.9,76,496,1,1,0,1,0,0,0,0,3,0
"357",5,0.9,77,482,1,1,0,1,0,0,0,0,4,0
"358",5,0.9,78,420,1,1,0,1,0,0,0,0,5,0
"359",5,0.9,79,447,1,0,1,0,0,0,0,0,0,0
"360",5,0.9,80,457,0,1,0,0,1,0,1,1,0,1
"361",5,0.9,81,899,0,1,0,0,0,1,0,0,0,2
"362",5,0.9,82,645,0,1,0,0,0,0,0,0,0,3
"363",5,0.9,83,564,0,0,1,1,0,0,0,0,0,0
"364",5,0.9,84,400,1,1,0,1,1,0,1,1,1,0
"365",5,0.9,85,535,1,1,0,1,0,1,0,0,2,0
"366",5,0.9,86,443,1,1,0,1,0,0,0,0,3,0
"367",5,0.9,87,411,1,1,0,1,0,0,0,0,4,0
"368",5,0.9,88,424,1,1,0,1,0,0,0,0,5,0
"369",5,0.9,89,385,1,1,0,1,0,0,0,0,6,0
"370",5,0.9,90,399,1,1,0,1,0,0,0,0,7,0
"371",5,0.9,91,354,1,1,0,1,0,0,0,0,8,0
"372",5,0.9,92,365,1,1,0,1,0,0,0,0,9,0
"373",5,0.9,93,335,1,1,0,1,0,0,0,0,10,0
"374",5,0.9,94,315,1,1,0,1,0,0,0,0,11,0
"375",5,0.9,95,329,1,1,0,1,0,0,0,0,12,0
"376",5,0.9,96,306,1,1,0,1,0,0,0,0,13,0
"377",5,0.9,97,308,1,1,0,1,0,0,0,0,14,0
"378",5,0.9,98,325,1,1,0,1,0,0,0,0,15,0
"379",5,0.9,99,316,1,1,0,1,0,0,0,0,16,0
"380",5,0.9,100,326,1,1,0,1,0,0,0,0,17,0
"381",5,0.9,101,314,1,1,0,1,0,0,0,0,18,0
"382",5,0.9,102,336,1,1,0,1,0,0,0,0,19,0
"383",5,0.9,103,316,1,1,0,1,0,0,0,0,20,0
"384",5,0.9,104,322,1,0,1,0,0,0,0,0,0,0
"385",5,0.9,105,826,0,1,0,0,1,0,1,1,0,1
"386",5,0.9,106,759,0,1,0,0,0,1,0,0,0,2
"387",5,0.9,107,449,0,1,0,0,0,0,0,0,0,3
"388",5,0.9,108,440,0,1,0,0,0,0,0,0,0,4
"389",6,0.8,2,884,1,1,1,1,1,0,0,0,0,0
"390",6,0.8,3,468,1,1,0,1,0,1,1,0,1,0
"391",6,0.8,4,391,1,1,0,1,0,0,0,0,2,0
"392",6,0.8,5,338,1,0,1,0,0,0,0,0,0,0
"393",6,0.8,6,1473,0,1,0,0,1,0,1,1,0,1
"394",6,0.8,7,1029,1,1,1,1,1,1,0,0,0,0
"395",6,0.8,8,634,1,1,0,1,0,1,1,0,1,0
"396",6,0.8,9,419,1,1,0,1,0,0,0,0,2,0
"397",6,0.8,10,466,1,1,0,1,0,0,0,0,3,0
"398",6,0.8,11,1080,0,1,1,0,1,0,0,0,0,0
"399",6,0.8,12,753,0,1,0,0,0,1,1,0,0,1
"400",6,0.8,13,515,0,0,1,1,0,0,0,0,0,0
"401",6,0.8,14,573,1,1,0,1,1,0,1,1,1,0
"402",6,0.8,15,540,1,1,0,1,0,1,0,0,2,0
"403",6,0.8,16,406,1,0,1,0,0,0,0,0,0,0
"404",6,0.8,17,1689,0,1,0,0,1,0,1,1,0,1
"405",6,0.8,18,805,1,1,1,1,1,1,0,0,0,0
"406",6,0.8,19,732,0,1,1,0,1,1,1,0,0,0
"407",6,0.8,20,923,0,0,1,1,0,1,1,0,0,0
"408",6,0.8,21,804,1,1,0,1,1,0,1,1,1,0
"409",6,0.8,22,767,1,1,0,1,0,1,0,0,2,0
"410",6,0.8,23,610,1,1,0,1,0,0,0,0,3,0
"411",6,0.8,24,558,1,1,0,1,0,0,0,0,4,0
"412",6,0.8,25,528,1,1,0,1,0,0,0,0,5,0
